,OBJECTID,HUC12,VALUE_0,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_45,VALUE_46,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,TotalPixels,V_0_PERCENT,V_11_PERCENT,V_21_PERCENT,V_22_PERCENT,V_23_PERCENT,V_24_PERCENT,V_31_PERCENT,V_41_PERCENT,V_42_PERCENT,V_43_PERCENT,V_45_PERCENT,V_46_PERCENT,V_52_PERCENT,V_71_PERCENT,V_81_PERCENT,V_82_PERCENT,V_90_PERCENT,V_95_PERCENT,TotalPercents
0,1,20801010000,0.0,3046545000.0,1177200.0,221400.0,165600.0,32400.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3048164100.0,0.0,0.9994688278101563,0.00038619967999754346,7.263388477018018e-05,5.432778373054128e-05,1.0629348990758077e-05,7.381492354693109e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,20802080204,0.0,7182000.0,20641500.0,36366300.0,22393800.0,9896400.0,131400.0,171900.0,841500.0,829800.0,900.0,7200.0,68400.0,447300.0,299700.0,275400.0,4111200.0,1187100.0000000002,104851800.0,0.0,0.06849667816861513,0.19686357315754235,0.34683524746356287,0.21357573260544882,0.09438464575715438,0.0012531973700022317,0.001639456833359084,0.008025613294192374,0.007914027227000395,8.583543630152271e-06,6.866834904121817e-05,0.0006523493158915726,0.004266021184185679,0.0028583200288407064,0.0026265643508265953,0.03920962730253558,0.01132169404817085,1.0
2,3,20801080101,0.0,69265799.99999999,19726200.0,10266300.0,4537800.0,945900.0,181800.0,1346400.0,14635800.000000002,8118000.0,189000.0,132300.0,1239299.9999999998,143100.0,217800.0,2457900.0,18514800.0,15071399.999999998,166989600.0,0.0,0.4147911007631612,0.1181283145776743,0.06147867891174061,0.027174147372051913,0.005664424610873971,0.0010886905531841504,0.00806277756219549,0.0876449790885181,0.0486138058897081,0.001131807010735998,0.0007922649075151985,0.0074214202561117566,0.0008569395938429698,0.001304272840943388,0.014718880696761954,0.11087397059457595,0.09025352477040485,0.9999999999999999
3,4,20801080104,0.0,26816399.999999996,4648500.0,5467500.0,1518300.0,330300.0,483300.0,90900.0,1108800.0,131400.0,1800.0,0.0,102600.0,23400.0,172800.0,578700.0,4047300.0,8957699.999999998,54479700.0,0.0,0.49222738010671857,0.08532535972114384,0.1003584821502321,0.02786909619546363,0.006062808715907026,0.0088711942246378,0.0016685113904812252,0.020352534980919497,0.0024119075545570184,3.30398295144797e-05,0.0,0.0018832702823253433,0.0004295177836882362,0.0031718236333900516,0.010622305188905225,0.07429005666330762,0.16442271157880822,0.9999999999999998
4,5,20802080102,0.0,3411000.0,5851800.0,2574000.0,1345500.0000000002,258300.0,87300.0,3556800.0,17261100.0,9914399.999999998,2012400.0,1238400.0,1044900.0,173700.0,251100.0,34235100.0,20010600.0,305100.0,103531500.0,0.0,0.032946494545138434,0.05652192810883644,0.0248619985221889,0.01299604468205329,0.00249489285869518,0.000843221628200113,0.03435476159429739,0.16672317120876254,0.0957621593428087,0.01943756248098405,0.011961576911374798,0.010092580518972487,0.0016777502499239361,0.002425348806884861,0.33067327335158864,0.19328030599382798,0.0029469291954622506,1.0
5,6,20802010401,0.0,8100.0,1184400.0,114300.0,3600.0,0.0,31500.0,36438300.0,162900.0,6556499.999999999,1548000.0,407700.0,0.0,0.0,4218300.0,0.0,0.0,16200.0,50689800.0,0.0,0.00015979546180888463,0.023365647526721354,0.002254891516636483,7.102020524839317e-05,0.0,0.0006214267959234402,0.7188487624729235,0.003213664287489791,0.12934554880863605,0.03053868825680906,0.008043038244380527,0.0,0.0,0.0832179254998047,0.0,0.0,0.00031959092361776926,1.0
6,7,20802010302,0.0,12600.0,2752199.9999999995,641700.0,216900.0,0.0,63900.0,91777500.0,1087200.0,20813400.0,1264499.9999999998,753300.0,0.0,6300.0,2270700.0,0.0,8100.0,1800.0,121670100.0,0.0,0.00010355872149361264,0.022620183594819102,0.005274097744638987,0.0017826894199971892,0.0,0.0005251906590033212,0.7543143303079393,0.00893563825459172,0.17106421380437759,0.010392857407037553,0.006191332135010985,0.0,5.177936074680632e-05,0.01866276102345605,0.0,6.657346381732241e-05,1.4794103070516092e-05,1.0
7,8,20802010703,0.0,247500.0,3441600.0,301500.0,16200.0,900.0,15300.0,43995600.0,5616000.0,22781700.0,495900.0,851400.0,0.0,11700.0,8465400.0,77400.0,10800.0,8100.0,86337000.0,0.0,0.0028666736161784634,0.03986239966642344,0.003492129677890128,0.00018763681851349941,1.0424267695194413e-05,0.00017721255081830503,0.5095799020118836,0.06504743041801314,0.2638694881684562,0.005743771500052121,0.009861357239653914,0.0,0.00013551548003752737,0.09805066194099865,0.0008964870217867195,0.00012509121234233295,9.381840925674971e-05,0.9999999999999999
8,9,20802010402,0.0,3600.0,1040400.0,63000.0,15300.0,900.0,45900.0,42512399.99999999,1440000.0,15847200.0,2922300.0,280800.0,0.0,0.0,3330000.0,0.0,95400.0,36900.0,67634100.0,0.0,5.3227587858787206e-05,0.015382772891189504,0.0009314827875287762,0.00022621724839984563,1.3306896964696802e-05,0.0006786517451995369,0.628564585024418,0.021291035143514884,0.2343078417543813,0.04320749444437052,0.004151751852985402,0.0,0.0,0.04923551876937817,0.0,0.0014105310782578612,0.0005455827755525689,0.9999999999999999
9,10,20802011101,0.0,216000.0,3095100.0,248400.0,32400.0,0.0,10800.0,94206599.99999999,2754900.0,32234400.0,5604300.0,1632600.0,0.0,27900.0,6658200.0,49500.0,46800.0,4500.0,146822400.0,0.0,0.0014711651628089447,0.02108057081208317,0.0016918399372302863,0.0002206747744213417,0.0,7.355825814044724e-05,0.641636426049431,0.01876348568065908,0.21954688112985485,0.03817060612004708,0.011119556688897607,0.0,0.00019002550019615535,0.04534866614358572,0.00033714201647704983,0.00031875245194193803,3.0649274225186345e-05,0.9999999999999999
