,Station,Latitude,Longitude
0,1491000,38.99722,-75.78611
164,1493112,39.25706,-75.94014
327,1502500,42.37778,-75.40639
484,1503000,42.03528,-75.80333
646,1511500,42.29806,-75.90916999999997
673,1515000,42.03389,-76.4006
863,1529500,42.2525,-77.21694000000002
1026,1531000,42.0028,-76.635
1207,1548085,41.1268,-77.4332
1235,1578310,39.65872,-76.17412
1441,1581752,39.49638,-76.34778
1568,1585075,39.40853,-76.34264
1586,1594440,38.95583,-76.69333
1760,1595300,39.36666,-79.17917
1884,1604500,39.44306,-78.82222
2023,1608500,39.44694000000001,-78.65444000000002
2162,1611500,39.58222,-78.31
2303,1613030,39.64058,-78.21894
2438,1614000,39.51194,-78.0375
2567,1614500,39.716,-77.824
2579,1616400,39.33464,-78.05344000000002
2715,1616500,39.42361,-77.93889
2852,1618100,39.48308,-77.83183000000002
2989,1619500,39.4498,-76.2698
3001,1636500,39.28194000000001,-77.78944
3126,1646580,38.92955,-77.11692
3333,1651770,38.91603,-76.96856
3475,1651800,38.90122,-76.94304
3610,1654000,38.81273,-77.22872
3751,1658000,38.59621,-77.05609
3890,1AACO014.57,38.81123,-77.23026
4109,1AAUA001.39,38.4,-77.32
4122,1AAUA003.71,38.42305,-77.35528000000002
4191,1ACAX004.57,39.25458,-77.57616
4331,1ACER016.46,38.63656,-77.62573
4344,1ACHO000.47,38.5,-77.31
4373,1ADIF000.86,38.97583,-77.24611
4539,1ADOU000.60,38.69778,-77.12111
4619,1AGOO011.23,39.01844000000001,-77.57638
4631,1ANEA000.40,38.6,-77.25694
4640,1ANEA000.57,38.6,-77.25692
4736,1AOCC002.47,38.64028,-77.22222
4810,1APOH000.21,38.665,-77.13805
4811,1APOH000.93,38.67,-77.14
4838,1APOH002.10,38.67589,-77.16642
4873,1APOH002.32,38.68028,-77.16917
4958,1APOM000.60,38.34,-77.29
4972,1APOM002.41,38.3475,-77.3275
5041,1AQUA000.43,38.53,-77.28
5098,1ASOQ006.73,38.58722,-77.42889
5267,1BMDD005.81,38.48667,-77.96056
5439,1BNFS010.34,38.97644,-78.33633
5805,1BSMT004.60,38.69345,-78.6428
6004,1BSSF003.56,38.91361,-78.20971999999998
6309,1BSSF100.10,38.3129,-78.77003
6625,1BSTH027.85,38.05722,-78.90805999999998
6803,2-APP110.93,37.3074,-78.38897
7040,2-BCC004.71,38.06986,-79.89764
7213,2-BLP000.79,38.19528,-79.57072
7385,2-CFP004.67,37.98717,-79.49408000000003
7558,2-CHK035.26,37.43,-77.06
7817,2-DPC005.20,37.28389,-77.86833
7990,2-JMS113.20,37.53142,-77.4837
8269,2-JMS117.35,37.56158,-77.54381
8280,2-JMS229.14,37.53653,-78.82918000000002
8282,2-JMS279.41,37.55546,-79.36701
8575,2-MCM005.12,38.10269,-78.59293000000002
8745,2-MRY014.78,37.75222,-79.39195
8922,2-PNY005.29,37.7025,-79.0275
8976,2-RVN015.97,37.85806,-78.26695
9174,3-RAP030.21,38.36497,-77.97708
9481,3-RAP066.54,38.27985,-78.34084
9649,3-ROB001.90,38.3307,-78.10216
9818,3-RPP147.10,38.53012,-77.81361
9833,3-RPP147.49,38.52889,-77.82027
10057,302031,38.84972,-75.67333
10186,304191,38.72917,-75.56139
10315,7-DRN010.48,37.63361,-76.69583
10482,8-LTL009.54,37.87292,-77.51331
10662,8-MPN094.79,38.06728,-77.38464
10667,8-MPN094.94,38.07695,-77.38472
10885,8-NAR005.42,37.85014,-77.42775999999998
11149,8-PCT000.76,37.96028,-77.34361
11300,8-POR008.97,38.17458,-77.602
11472,ANA0082,38.93893,-76.94344
11645,ANA01,38.91817,-76.94164
11772,ANA05,38.90928,-76.95581
11843,ANA08,38.89872,-76.9622
11928,ANA11,38.884,-76.96885999999998
11997,ANA14,38.87734,-76.97553
12146,ANA19,38.87028,-76.99694000000002
12225,ANA21,38.85289,-77.0047
12372,ANA24,38.86122,-77.01276
