,OBJECTID,HUC8,VALUE_0,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_45,VALUE_46,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,TotalPixels,V_0_PERCENT,V_11_PERCENT,V_21_PERCENT,V_22_PERCENT,V_23_PERCENT,V_24_PERCENT,V_31_PERCENT,V_41_PERCENT,V_42_PERCENT,V_43_PERCENT,V_45_PERCENT,V_46_PERCENT,V_52_PERCENT,V_71_PERCENT,V_81_PERCENT,V_82_PERCENT,V_90_PERCENT,V_95_PERCENT,TotalPercents
0,1,2070008,0.0,44228700.0,403607700.0,223456500.0,117737100.0,31041000.0,3816000.0,766638899.9999999,27746100.0,343078200.00000006,5279400.0,12686400.0,3747600.0,2066400.0,931896000.0,226024200.0,61273800.0,2644199.9999999995,3206968200.0,0.0,0.013791437033893881,0.1258533527086424,0.0696784271200444,0.036712899117615196,0.009679235360051278,0.0011899088990031145,0.23905410100418203,0.008651816379095996,0.10697898407598805,0.001646227736215158,0.003955885811402807,0.0011685803432662663,0.0006443468943658375,0.29058473358108133,0.07047908987685005,0.01910645699573822,0.0008245170625639504,1.0
1,2,2070010,0.0,143055000.0,624762900.0000001,530834400.00000006,298530000.0,100177200.0,10863000.0,697535100.0,48426300.00000001,292232700.0,16614000.0,15880500.0,9700200.0,7787699.999999999,344321999.99999994,83420100.0,139491900.0,10907100.0,3374540100.0,0.0,0.04239244334361296,0.18514016176604337,0.1573057021903518,0.08846538821690102,0.02968617856993313,0.003219105323418738,0.2067052336998455,0.014350488826610774,0.08659926726015198,0.004923337553463952,0.004705974600805603,0.0028745250352781404,0.0023077811403100527,0.1020352373350075,0.024720435237975093,0.04133656612941124,0.0032321737708791783,1.0000000000000002
2,3,2060006,0.0,141017400.0,294270300.0,181924199.99999997,83988000.0,23281200.0,10971900.000000002,720286200.0,18359100.0,273006900.0,7723800.0,10561500.0,12684600.000000002,5724000.0,252284400.00000003,211501800.0,132310799.99999999,20836800.000000004,2400732900.0,0.0,0.05873931248245067,0.12257519360025432,0.07577860910724386,0.03498431666429864,0.009697538614145705,0.004570229366207295,0.30002762906277497,0.007647289708905143,0.11371814832045664,0.0032172675269289642,0.004399281569390747,0.005283636509500912,0.002384271902967631,0.10508640923777902,0.08809884681465398,0.05511266996840839,0.008679349543633115,1.0
3,4,2040304,3262500.0,1259121600.0,22017599.999999996,12144600.000000002,5274900.0,1548000.0,13691700.0,1733400.0,42647400.0,16357500.0,267300.0,108000.0,1700100.0,321300.0,830700.0,196398900.0,103707900.0,280077300.0,1961210700.0,0.001663513257397586,0.6420124059082484,0.011226534711441253,0.0061923994193994565,0.002689614124581311,0.0007893083593720961,0.006981248878562615,0.0008838418024131726,0.021745445300701244,0.008340511297434794,0.00013629336205436775,5.506802507247182e-05,0.0008668624946824938,0.00016382737459060364,0.00042356489284909574,0.10014166249449893,0.05287952997605,0.1428083683206501,1.0
4,5,2080108,0.0,142456500.0,112588200.0,113715900.0,56718000.0,19506600.0,3929400.0,2770200.0000000005,28732500.0,13801500.0,203400.0,180000.0,1934100.0,928800.0,606600.0,6021900.000000001,55519200.00000001,33863400.0,593476200.0,0.0,0.24003742694315292,0.18970971371724762,0.1916098741617608,0.09556912307519662,0.03286837787260888,0.006620990024536789,0.0046677524726349605,0.048413904382349285,0.023255355480135513,0.00034272646485233947,0.0003032977565064951,0.00325893439366229,0.0015650164235735148,0.0010221134394268886,0.010146826443924796,0.09354916001686336,0.05705940693156693,0.9999999999999999
5,6,2020005,0.0,18351000.000000004,98361000.0,23867100.0,6254099.999999999,1455299.9999999998,5134500.000000001,715065300.0000001,294210000.0,676590300.0,7325100.000000001,33316200.0,712800.0,8165699.999999999,387939600.0,47911500.0,68052600.00000001,11169900.0,2403882000.0,0.0,0.007633902163250943,0.04091756583725824,0.00992856554523059,0.002601666803944619,0.0006053957723382428,0.002135920149158736,0.2974627290357847,0.12238953492725517,0.2814573677077327,0.003047196160210859,0.013859332529633318,0.00029652037828811897,0.0033968805457173018,0.16138046709447468,0.01993088679061618,0.0283094594493407,0.004646609109764955,1.0
6,7,2040101,0.0,51624899.99999999,143117100.0,14375700.0,3227400.0,940500.0,6793200.0,1700432999.9999998,91177200.0,493719299.99999994,26986500.0,17998200.000000004,927900.0,4406400.0,451995300.00000006,9949500.0,55563300.0,9225900.0,3082461300.0,0.0,0.016747947492479466,0.04642948801984959,0.004663708186701322,0.0010470204443442648,0.0003051133196708747,0.0022038232888763275,0.5516478017096272,0.029579349463365524,0.16017047805271714,0.008754854440508305,0.005838905422754214,0.0003010256771106907,0.0014295069981900502,0.14663454168913656,0.0032277777502024113,0.01802562776700554,0.0029930302774604177,1.0
7,8,2020004,0.0,46719000.0,266238000.0,165856500.00000003,76155300.00000001,28850400.0,7567200.0,885552300.0000001,225701100.00000003,375251400.0,13581900.0,18135000.000000004,16086599.999999998,17631900.0,1017069300.0,374382000.00000006,260189100.0,29049300.0,3824016300.0,0.0,0.012217259638772984,0.0696226111797693,0.043372330813548056,0.019915004023387667,0.007544528510508703,0.001978861857884863,0.23157649720269238,0.05902200259972742,0.09813017794929378,0.0035517369525856885,0.004742396103280209,0.004206728930522602,0.004610832856544048,0.26596887152390014,0.09790282536191074,0.06804079260854615,0.007596541887125325,1.0
8,9,2050306,0.0,137606400.0,611697600.0000001,319563000.00000006,132054299.99999999,55961100.0,16890300.0,1197224099.9999998,28215000.0,581554800.0,10944000.0,8279100.000000001,59145300.0,8271900.000000001,1017738899.9999999,2192266799.9999995,53934300.0,7924499.999999999,6439271399.999999,0.0,0.021369871131693568,0.09499484677723014,0.04962719850571916,0.020507646253270208,0.008690595026014901,0.002623014150327629,0.1859253983300036,0.004381706911747811,0.09031375816835428,0.0016995711657688478,0.0012857199962095095,0.009185091965528896,0.0012846018572846615,0.1580518721419321,0.3404526170460838,0.00837583891867021,0.0012306516541607487,1.0
9,10,2070009,0.0,10191600.0,199970100.0,101224800.0,34880399.99999999,9176400.0,7735500.000000001,560180699.9999999,13971600.0,247491900.0,3158100.0,5607000.0,3305700.0,2218500.0,695007900.0,579352500.0,34170300.00000001,3507300.0,2511150300.0,0.0,0.0040585384315705835,0.07963286785342956,0.040310131974179327,0.013890208005470637,0.003654261554953521,0.0030804607752869277,0.22307732834629607,0.00556382467429369,0.0985571831363499,0.0012576308156465187,0.0022328412600392737,0.0013164086594099924,0.0008834596638839181,0.2767687382153111,0.23071199680879317,0.013607429232730516,0.0013966905923552247,1.0
