OBJECTID,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,NonContrib,NonContr_1,AreaSqKm,AreaAcres,GNIS_ID,Name,States,HUC12,HUType,HUMod,ToHUC,HUC4,HUC6,HUC8,HUC10,HUC4_Name,HUC6_Name,HUC8_Name,HUC10_Name,Shape_Leng,Shape_Area,test_count,test_sum,test_mean
"1",{9C83472B-0B5D-48B8-9382-B6AAD67E37F2},,,,,2013-01-18,"0","0",54.020000000000003,13348.680000000000291,,Spring Branch-Murderkill River,DE,"020402070401",S,DM,"020402070404","0204","020402","02040207","0204020704",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Murderkill River-Frontal Delaware Bay,17634.854027387063979,6470.517948937410438,4.000000000000000,0.000000000000000,0.000000000000000
"2",{47BB3A4D-1C14-46A2-926B-78F9891CDC8F},,,,,2013-01-18,"0","0",50.649999999999999,12514.819999999999709,,Browns Branch,DE,"020402070402",S,DM,"020402070404","0204","020402","02040207","0204020704",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Murderkill River-Frontal Delaware Bay,21682.454687064258906,7072.773528732611339,6.000000000000000,0.000000000000000,0.000000000000000
"3",{B329BBA1-8D9E-4058-9A1E-EE12C60469D2},{ED602145-9201-4827-9CE1-05D252484579},,,,2017-10-03,"0","0",72.500000000000000,17914.360000000000582,,Spring Creek,DE,"020402070403",S,NM,"020402070404","0204","020402","02040207","0204020704",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Murderkill River-Frontal Delaware Bay,8459.812609295113361,3007.243928042465086,3.000000000000000,0.000000000000000,0.000000000000000
"4",{225710C7-8CFC-4FD1-8018-E14302632E3D},{ED602145-9201-4827-9CE1-05D252484579},,,,2017-10-03,"0","0",70.030000000000001,17305.580000000001746,,Upper Mispillion River,DE,"020402070501",S,DM,"020402070503","0204","020402","02040207","0204020705",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Mispillion River-Frontal Delaware Bay,26760.941127182970376,10272.382739178689008,7.000000000000000,0.000000000000000,0.000000000000000
"5",{55B65281-E968-4677-AF85-DDBE3B49C742},{E9F5C988-2313-440E-A05E-C5871E2773A6},,,,2013-01-18,"0","0",45.229999999999997,11177.200000000000728,,Upper Cedar Creek,DE,"020402070502",S,DM,"020402070505","0204","020402","02040207","0204020705",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Mispillion River-Frontal Delaware Bay,26936.348230435101868,9588.997368032854865,6.000000000000000,0.000000000000000,0.000000000000000
"6",{84A67944-121A-4BA4-B04E-E44961A5520B},,,,,2013-01-18,"0","0",74.819999999999993,18489.180000000000291,,Round Pole Branch-Broadkill River,DE,"020402070601",S,NM,"020402070603","0204","020402","02040207","0204020706",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Broadkill River-Frontal Delaware Bay,17771.593762972734112,4824.789529409409624,3.000000000000000,0.000000000000000,0.000000000000000
"7",{C654B2BE-1254-4F07-BF6B-5D068BC8BD67},,,,,2013-01-18,"0","0",81.390000000000001,20111.229999999999563,,Primehook Creek,DE,"020402070602",S,NM,"020402070603","0204","020402","02040207","0204020706",Delaware-Mid Atlantic Coastal,Lower Delaware,Broadkill-Smyrna,Broadkill River-Frontal Delaware Bay,4496.994225122599346,2025.800448501272285,2.000000000000000,0.000000000000000,0.000000000000000
"8",{F8CA7870-A415-42C8-9FB5-D49A22F00A98},,,,,2013-01-18,"0","0",53.570000000000000,13237.819999999999709,,Headwaters Marshyhope Creek,DE,"020801090301",S,NM,"020801090302","0208","020801","02080109","0208010903",Lower Chesapeake,Lower Chesapeake,Nanticoke,Marshyhope Creek,58946.691209969372721,88676692.749823912978172,59538.000000000000000,10.000000000000000,0.000167959958346
"9",{37B4AC5C-5089-452E-AD5D-0403CEF5DE6C},,,,,2013-01-18,"0","0",78.230000000000004,19330.389999999999418,,Gum Branch,DE,"020801090401",S,NM,"020801090402","0208","020801","02080109","0208010904",Lower Chesapeake,Lower Chesapeake,Nanticoke,Upper Nanticoke River,64685.914448659081245,128952986.946454852819443,86946.000000000000000,65.000000000000000,0.000747590458445
"10",{A2FCE1F1-D077-4612-87B7-23349DBA9433},,,,,2013-01-18,"0","0",112.129999999999995,27708.889999999999418,,Headwaters Nanticoke River,DE,"020801090402",S,NM,"020801090404","0208","020801","02080109","0208010904",Lower Chesapeake,Lower Chesapeake,Nanticoke,Upper Nanticoke River,101055.540564936614828,184918510.418604016304016,124570.000000000000000,77.000000000000000,0.000618126354660
